Id;Non Conformance Title;Classification;Pending Steps;Case Worker;Status;Registration Time;Registered By;Reoccurrence;Completed On;Impact Other;Investigation summary;Impact Assessment;Root cause description;Classification justification;Segregation of product;Discarded product;Started new production;Repeated operation/analysis
420;"Temperature sensor cable discarded after Xcellerator run termination";Low risk;;;Completed;21/10/2025 01:07 PM;Nina Granum;NO;10/11/2025 12:11 PM;;;;;"No impact on product quality or validated state of equipment/process. Also no impact on employee safety or on customer agreements. The only possible impact could have been economic, if a new temperature sensor had to be purchased for about 10.000 NOK, but this was not necessary as we had a spare one available.";;;;
421;"Rejected batch used as reference for QC";Low risk;;;Completed;28/10/2025 08:27 AM;Joakim Sørgård;NO;06/11/2025 01:16 PM;;;;;"There is no impact on final product quality. The QC test E6706 was invalidated and the analysis repeated using a valid reference (E6707). All impacted batches met approved specifications. The IPC analysis are used for monitoring and estimation, not formal batch disposition. Since production outcomes were successful there is no impact to any production timelines. ";;;;
422;"More product shipped to Abbott Ireland than ordered";Low risk;;;Completed;29/10/2025 12:55 PM;Adrijana Skugor;NO;30/03/2026 08:24 AM;;;;;"This NC does not pose a risk to product quality and product performance. Potentially, if re-occurring such NC could negatively affect customer satisfaction and potentially business continuity, but this event was resolved quickly in agreement with the customer.  In this case, the outcome did not result in financial loss, instead the customer accepted and paid for the additional product.";;;;
423;"CEDEX Run numbers used twice for different analyses";Low risk;;;Completed;03/11/2025 02:50 PM;Jenny Havstad;NO;22/01/2026 11:25 AM;;;;;"No impact on product quality, validated state of equipment/process, customer agreements or employee safety.";;;;
424;"Incorrect date recorded for correction of documented data";Low risk;;;Completed;05/11/2025 05:12 PM;Nina Granum;NO;06/11/2025 03:20 PM;;;;;"This NC does not impact any validated state of process or equipment. It does not impact the product quality, customer agreement or employee safety. ";;;;
425;"Liquid in pipette";Low risk;;;Completed;12/11/2025 02:09 PM;Joakim Sørgård;NO;07/04/2026 10:05 AM;;;;;"The pipette was not used for any QC analysis recently as seen in batch documentation. Any IPC analysis is purely for getting an idea of how the production is going and does not impact the actual quality of the product. Since there is no impact to the product or otherwise timeline of any production it is considered to be a low risk NC. ";;;;
426;"NC 1. Internal audit: customer handling and realization of products.";Low risk;"Technical verification*";;Deadline Exceeded;27/11/2025 08:06 AM;Christer Fjeld;NO;;;;;;"Minor Deviation according to ISO 9001: 2015. 7.3 (awareness) and 5.2 (management)";;;;
427;"NC 2. Internal audit: Customer handling and realization of products";Low risk;;;Completed;28/11/2025 08:04 AM;Christer Fjeld;NO;02/03/2026 12:02 PM;;;;;"Minor NC according to ISO 9001:2015. Only one product was undergoing dialysis at the time, and the dialysis documentation was correctly completed. Therefore, there was no possibility of product mix-up, placement in an incorrect buffer, or insufficient dialysis";;;;
428;"Lost data on DIA169 temp logger due to low battery";Low risk;;;Completed;01/12/2025 08:54 AM;Jim Eero Lamppu;NO;21/01/2026 08:09 AM;;;;;"Based on the stable temperature performance before and after the deviation, and the absence of similar issues in other incubators, the likelihood of a systemic failure or ongoing equipment malfunction is considered low. No product or sample impact is expected given the short duration and limited extent of the deviation. The incubator has demonstrated consistent operational performance and power loss in Sirius loggers are not a common issue, supporting the conclusion that the risk associated with this event is minimal.";;;;
430;"Infection in production";High risk;"Investigation and root cause analysis*";Aumkar Logendran;Deadline Exceeded;12/12/2025 09:42 AM;Aumkar Logendran;NO;;;"The contamination was first observed in one flask during the expansion phase and subsequently spread to other flasks over two weeks. A review of handling procedures, environmental conditions, equipment functionality, and materials revealed no deviations or systemic issues. The contamination pattern suggests either cross-contamination during early manipulations or latent contamination introduced before freezing the Master Cell Bank (MCB). No evidence of cleanroom breach or equipment failure was found.";"The non-conformance resulted in contamination of 2D2 cell cultures during the expansion phase, preventing timely inoculation into the maximizer. As a consequence, the production timeline was delayed. Since we could not risk inoculating into the maximizer with potentially compromised cells, production was restarted by Thawing new cells on the 1st December 2025. Fresh, uncontaminatyed cells were inoculated into CL1000 reactors. No product was released outside of specification, and no safety risk was identified. However, the delay impacted project scheduling, cost of inoculating CL1000s, and required additional production efforts.   Product/Batch Impact: The contaminated flasks were contained      and discarded.    Production Use: Fresh, uncontaminated cells      were used to inoculate CL1000 on 01st December 2025. No      contaminated material entered production.    Customer      Impact:        Schedule: Current estimate is on time based       on re‑start in CL1000.      Delivery:       [HAR VI ESTIMERT DELIVERY?]      Communication: [[ER KUNDEN       NOTIFIED?]  ";"5 Whys Root‑Cause Analysis 1. Why did flasks become contaminated? Microorganisms entered during open handling (thaw/expansion/passaging). 2. Why could microbes enter during open handling? Aseptic field was likely disrupted (e.g., transient breach in technique, traffic/interruption, tool or glove contact outside first air, or re‑use of an item between flasks). 3. Why was the aseptic field disrupted? High workload / sequential handling of multiple flasks increased touchpoints, possible time pressure, seasonal operator factors (flu season) may increase shedding risk even with masks. 4. Why did the disruption lead to staggered contamination? Cross‑contamination at later manipulations created delayed onset, also, low starting bioburden can yield longer lag phases → visible contamination at different times. 5. Why is this event recurring 3–5×/year? The process design is inherently open, with multiple manual steps, although mitigated, residual risk remains and is accepted within controlled limits. Primary Root Cause (most probable): Aseptic breach during an open handling step (thaw/expansion/passaging) resulting in introduction of microorganisms into one flask and subsequent cross‑contamination into additional flasks during later manipulations. Contributing Causes:        Open process design (inherent residual      risk, occurs 3–5× per year).   Sequential handling of multiple flasks increases      cross‑contamination risk.   Seasonal factors (flu season) raising bioburden      pressure despite compliance.   Incubator traffic/shared use during the period (if      applicable).   Detection limits of routine visual/viability      checks (see Testing Limitations).";"Cells had to be discarded after three cycles of infection. Production deadline might not be met. Changed production to CL1000 instead of Maximizer";;True;True;
